Invention,Start Date,End Date,Inventor
Zeppelin,1900,,Theodor Kober
Vacuum cleaner,1901,,British engineer Hubert Cecil Booth and American inventor David T. Kenney
Gas turbine,1903,,Ægidius Elling
Laminated glass,1903,,Édouard Bénédictus
"Manually controlled, fixed wing, motorized aircraft",1903,,Orville and Wilbur Wright
"The Fleming valve, the first vacuum tube and diode",1904,,John Ambrose Fleming
"The first free flight of a rotary-wing aircraft is carried out",1907,,Paul Cornu
Bakelite,1907,,Leo Baekeland
Cellophane,1908,,Jacques E. Brandenberger
The Haber process,1909,,Fritz Haber
"The first instantaneous transmission of images, or television broadcast",1909,,Georges Rignoux and A. Fournier.
"The cloud chamber, the first particle detector",1911,,Charles Thomson Rees Wilson
The tank,1915,,Ernest Swinton
"The Czochralski process, widely used for the production of single crystal silicon",1916,,Jan Czochralski.
The crystal oscillator,1917,,Alexander M. Nicholson
The Fischer–Tropsch process,1925,,Franz Fischer and Hans Tropsch
The Yagi Antenna,1926,,Shintaro Uda assisted by his colleague Hidetsugu Yagi
The quartz clock,1927,,Warren Marrison and J.W. Horton at Bell Telephone Laboratories
Penicillin,1928,,Alexander Fleming
Turbo-jet engine,1928,,Frank Whittle
Phase-contrast microscopy,1930,,Frits Zernike
The electron microscope,1931,,Ernst Ruska
FM radio,1933,,Edwin H. Armstrong
Nylon,1935,,Wallace Carothers while working at DuPont
Freely programmable computer,1938,,Konrad Zuse
Nuclear fission,1938-12,,Otto Hahn (Nazi Germany)
electric current defibrillator,1939,,G. S. Yunyev or Naum Gurvich
Polyester,1941,,John Whinfield and James Dickson
"The V-2 rocket, the world's first long range ballistic missile",1942,,developed in Nazi Germany
The atomic bomb,1945-07,,"the United States, the United Kingdom, and Canada"
The ejector seat,1946,,Sir James Martin
Holography,1947,,Dennis Gabor
The transistor,1947-12,,John Bardeen and Walter Brattain under the supervision of William Shockley
Hydraulic fracturing technology,1947,,Floyd Farris and J.B. Clark (Stanolind Oil and Gas Corporation)
Atomic clock,1948,,The United States's National Bureau of Standards
Oxygen steelmaking,1948,,Robert Durrer
The float glass process,1952,,Alastair Pilkington
First use of nuclear power to produce electricity for households,1951-12-20,,
The first thermonuclear weapon,1952,,United States of America
"The first video tape recorder, a helical scan recorder",1953,,Norikazu Sawazaki
Solar Battery,1954,,"Bell Telephone scientists, Calvin Souther Fuller, Daryl Chapin and Gerald Pearson"
The hovercraft,1955,,Christopher Cockerell
The intermodal container,1955,,Malcom McLean
The hard disk drive,1956,,IBM
The first PC,1957,,IBM
"The first artificial satellite, Sputnik 1",1957,,Soviet Union
Integrated circuit,1958,1959,Independent invention by Jack Kilby and Robert Noyce
The first functioning laser,1960,,Theodore Maiman
The first electronic cigarette,1963,,Herbert A. Gilbert
Kevlar,1965,,Stephanie Kwolek at DuPont
ARPANET,1969,,"UCLA, SRI, UCSB, and The University of Utah"
The pocket calculator,1970,,in Japan
Email,1971,,Ray Tomlinson
The first commercially available microprocessor,1971,,Intel
The first video game console,1972,,Magnavox
The first commercial graphical user interface,1973,,Xerox
The first capacitive touchscreen,1973,,CERN
The Internet protocol suite,1973,1975,Vinton Cerf and Robert E. Kahn for DARPA
Flash memory (both NOR and NAND types),1984,,Fujio Masuoka while working for Toshiba
CD-ROM,1982,,
The first commercially available cell phone,1984,,Motorola
The World Wide Web,1990,,Sir Tim Berners-Lee
"Mosaic, the first popular web browser",1993,,Netscape
DVD,1995,,"Philips, Sony, Toshiba, and Panasonic"
